,timestamp,student_id,f1,f2,f3,f4,f5,f6,f7,f8,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output
3,"03/05/2024,07:48:46",574,"[0.001256,0.001021]","[0.003918,0.999461]","[0.968618,0.009863,0.975288]","[0.005633,0.985666,0.980462,0.996151]","[0.972187,0.993826,0.96857,0.993006]","[0.031377,0.001666,0.983761,0.039847,0.86586,]","[0.091454,0.865694,0.972187,0.993826,0.96857,0.993006]","[0.068548,0.966567,0.010166,0.017496,0.948114,0.996512,0.123021,0.09557,]",6.01E-247,-0.030595424,-0.409313522,-45.92954346,7364.257265,-2.548908834,0.00036618,8.975812465
4,"03/05/2024,07:50:03",574,"[3.84000e-04,9.99836e-01]","[0.999589,0.001177]","[0.980224,0.987284,0.984398]","[0.022037,0.959062,0.973918,0.998504]","[0.997074,0.019557,0.967915,0.016323]","[0.011266,0.034915,0.985681,0.973807,0.946154]","[0.934126,0.948954,0.940902,0.048562,0.97165,0.008906]","[0.017093,0.872336,0.025212,0.878976,0.9981,0.018082,0.035873,0.63976,]",0,0.118483817,-0.417066181,-44.55029292,1348.16927,-2.115151109,0.001524262,8.594235785
5,"03/05/2024,07:51:27",574,"[0.997409,0.002207]","[1.083e-03,7.900e-05]","[0.993846,0.004918,0.978574]","[0.006497,0.001336,0.998308,0.039455]","[0.944327,0.990429,0.003818,0.011438]","[0.96377,0.081122,0.030974,0.009299,0.986679]","[0.080539,0.951776,0.970393,0.126416,0.001409,0.018672]","[0.979727,0.034578,0.99476,0.902306,0.697474,0.892579,0.01262,0.001645]",0,0.000553972,-0.406942134,-31.90723606,1148.274207,-3.030562632,0.07000357,5.364045221
47,"07/05/2024,11:28:08",574,"[7.09823e-01,1.00000e-06]","[0.999999,0.999999]","[4.36557e-01,9.99999e-01,1.00000e-06]","[0.410877,0.386597,0.384497,0.408079]","[0.999999,0.999999,0.999999,0.999999]","[1.00000e-06,1.21733e-01,1.73952e-01,9.99999e-01,1.00000e-06]","[1.00000e-06,1.00000e-06,2.41238e-01,1.00000e-06,2.46949e-01,9.99999e-01]","[0.182384,0.376578,0.075565,0.305891,0.497701,0.526633,0.292203,0.550379]",-1.29E-182,-0.010824347,-0.151981569,0.318992145,8662.405001,-1.468484284,0.408992366,9.838245981
48,"07/05/2024,11:37:10",574,"[0.997527,0.346407]","[0.00044,0.216108]","[9.38553e-01,7.79000e-04,9.92212e-01]","[0.099045,0.983822,0.983594,0.876675]","[0.446814,0.422643,0.636614,0.692528]","[5.64120e-02,7.21999e-01,9.38553e-01,7.79000e-04,9.92212e-01]","[0.727272,0.326541,0.570444,0.520834,0.961172,0.844534]","[2.45056e-01,5.14880e-01,1.00000e-06,2.98890e-01,5.80141e-01,6.72960e-01
,2.72107e-01,5.99587e-01]",-4.02E-151,0.049944071,-0.465217457,-39.37259016,0.889369997,-2.582412344,0.007183971,9.68742964
49,"07/05/2024,11:40:28",574,"[0.459249,0.333709]","[0.026443,0.213357]","[0.999999,0.999999,0.999999]","[9.99999e-01,8.20574e-01,1.00000e-06,9.99999e-01]","[0.482003,0.293429,0.64029,0.551437]","[5.64120e-02,7.21999e-01,9.38553e-01,7.79000e-04,9.92212e-01]","[0.727272,0.326541,0.570444,0.520834,0.961172,0.844534]","[1.00000e-06,1.00000e-06,9.99999e-01,1.00000e-06,9.99999e-01,1.00000e-06
,1.00000e-06,9.99999e-01]",-2.51E-08,0.00467055,-0.48096236,-41.67299792,14.26646815,-2.59400705,0.007183971,7.2983083
50,"07/05/2024,11:41:51",574,"[0.9975,0.124873]","[0.042022,0.147233]","[0.,0.,0.248067]","[0.942672,0.951115,0.995412,0.891154]","[0.028021,0.005057,0.915872,0.991594]","[0.617482,0.611653,0.007066,0.023062,0.524775]","[0.071955,0.982521,0.127514,0.242736,0.986835,0.568672]","[0.570444,0.520834,0.961172,0.844534,0.74732,0.539692,0.586751,0.965255]",-4.25E-272,0.025957766,-0.174884543,-46.95807296,999.3022096,-2.313508685,0.007286156,6.549472033
51,"07/05/2024,11:42:55",574,"[0.19632,0.349227]","[0.160794,0.120826]","[0.046666,0.973756,0.232771]","[0.052593,0.193809,0.987223,0.981355]","[0.267565,0.066628,0.674564,0.856302]","[0.385417,0.015966,0.230894,0.241025,0.683264]","[0.973391,0.971996,0.401292,0.469058,0.432832,0.982823]","[0.090606,0.618386,0.382462,0.983231,0.466763,0.85994,0.680308,0.450499]",1.26E-39,0.04811866,-0.138536705,-33.85351486,56.40985973,-1.999092435,0.013850037,8.24624612
97,"15/05/2024,15:55:17",574,"[0.184525,0.999999]","[1.00000e-06,7.73694e-01]","[9.99999e-01,1.00000e-06,1.00000e-06]","[0.392728,0.37448,0.343811,0.416849]","[0.999999,0.999999,0.999999,0.999999]","[0.392547,0.330429,0.544712,0.709726,0.157859]","[1.00000e-06,7.22176e-01,2.52674e-01,1.00000e-06,3.55156e-01,5.36851e-01]","[0.178032,0.196704,0.228225,0.294988,0.501179,0.538404,0.41129,0.714921]",-8.20E-234,0.078569583,-0.180610637,0.43222025,8662.405001,-0.290013711,0.331997477,9.798945304
98,"15/05/2024,15:59:26",574,"[0.998333,0.997129]","[0.992212,0.617482]","[1.00000e-06,9.99999e-01,8.73377e-01]","[0.958107,0.997455,0.968459,0.999999]","[1.e-06,1.e-06,1.e-06,1.e-06]","[5.64120e-02,7.21999e-01,9.38553e-01,7.79000e-04,9.92212e-01]","[1.00000e-06,7.18100e-01,4.49234e-01,1.00000e-06,4.80993e-01,8.63653e-01]","[0.037653,0.277889,0.393388,0.370201,0.548993,0.620186,0.510005,0.743499]",2.61E-190,-0.048918165,-0.075020134,-52.31438911,163.1224976,-2.666249331,0.282657838,9.479049583
